gx,gy,gz,acx,acy,acz,time
-2.44,13.79,-11.23,-0.15,-0.93,0.28,2022-03-28 9:28:31
8.36,26.43,-10.25,-0.16,-0.89,0.35,2022-03-28 9:28:31
14.77,26.86,-9.64,-0.16,-0.88,0.4,2022-03-28 9:28:31
14.1,31.92,4.03,-0.18,-0.78,0.43,2022-03-28 9:28:32
21,21.55,13.12,0.07,-1,0.23,2022-03-28 9:28:32
17.52,10.56,33.63,-0.13,-1.02,0.25,2022-03-28 9:28:32
1.28,8.06,1.46,0.08,-1.04,0.23,2022-03-28 9:28:32
-9.09,12.33,-0.37,0.25,-0.92,0.2,2022-03-28 9:28:32
7.51,-20.32,9.09,0.07,-0.97,0.32,2022-03-28 9:28:32
1.28,-38.64,-17.09,0.08,-1.05,0.35,2022-03-28 9:28:32
-5.68,-20.57,-18.01,-0.14,-1.2,0.22,2022-03-28 9:28:32
-14.1,3.6,-14.89,-0.15,-0.86,0.17,2022-03-28 9:28:32
-20.26,-2.14,-8.24,-0.01,-0.84,0.05,2022-03-28 9:28:33
-1.65,-5.49,23.19,-0.26,-0.84,0.35,2022-03-28 9:28:33
-6.84,11.29,4.76,-0.06,-0.84,0.35,2022-03-28 9:28:33
4.52,18.98,23.38,0,-0.86,0.32,2022-03-28 9:28:33
10.44,20.2,18.92,0.06,-1.19,0.25,2022-03-28 9:28:33
12.21,25.82,16.05,0.04,-0.84,0.32,2022-03-28 9:28:33
3.42,-4.39,2.14,0.38,-1.04,0,2022-03-28 9:28:33
16.91,-16.66,0.61,-0.03,-0.98,0.31,2022-03-28 9:28:33
-0.73,-20.26,-22.16,0.27,-1.05,0.3,2022-03-28 9:28:34
-16.54,-18.13,-21.97,-0.13,-1.26,0.36,2022-03-28 9:28:34
-37.9,-6.84,-8.73,-0.03,-0.63,0.22,2022-03-28 9:28:34
-10.25,-22.28,-6.71,0.05,-0.84,0.05,2022-03-28 9:28:34
19.53,-14.77,21.61,-0.28,-0.88,0.51,2022-03-28 9:28:34
-8.18,7.2,4.58,0.12,-0.82,0.42,2022-03-28 9:28:34
11.11,-6.65,26.37,0,-0.83,0.34,2022-03-28 9:28:34
22.52,-2.44,4.7,0.2,-1.34,0.08,2022-03-28 9:28:34
3.3,22.89,14.53,-0.18,-0.9,0.26,2022-03-28 9:28:34
8.42,-14.1,-7.81,0.33,-1.08,0.05,2022-03-28 9:28:35
0.61,-2.75,0.18,-0.08,-0.93,0.28,2022-03-28 9:28:35
-4.58,-5.43,-21.06,0.22,-1.05,0.27,2022-03-28 9:28:35
-14.28,9.4,-36.5,-0.16,-1.36,0.31,2022-03-28 9:28:35
-26.98,11.84,-8.97,-0.23,-0.72,0.18,2022-03-28 9:28:35
-24.66,-32.9,-27.28,-0.19,-0.96,0.06,2022-03-28 9:28:35
2.32,3.85,-5.8,-0.37,-0.82,0.45,2022-03-28 9:28:35
-2.5,48.22,5.25,0.2,-0.76,0.44,2022-03-28 9:28:35
9.16,0.06,15.38,-0.06,-0.85,0.44,2022-03-28 9:28:35
12.57,-4.58,21.12,-0.12,-0.91,0.41,2022-03-28 9:28:36
10.62,7.87,11.96,-0.03,-0.77,0.41,2022-03-28 9:28:36
25.45,-2.38,21.97,0.05,-0.87,0.25,2022-03-28 9:28:36
56.15,-35.58,45.59,-0.35,-1.17,0.17,2022-03-28 9:28:36
-13.37,30.7,-12.82,0.07,-1.07,0.05,2022-03-28 9:28:36
-16.54,-8.12,14.28,0.14,-1,0.12,2022-03-28 9:28:36
-33.94,21.79,8.36,0.1,-0.96,0.3,2022-03-28 9:28:36
-25.76,-1.71,-6.71,0.24,-0.86,0.28,2022-03-28 9:28:36
11.11,-41.14,-4.64,0.09,-0.92,0.46,2022-03-28 9:28:36
11.66,-19.47,-29.05,0.07,-1.02,0.41,2022-03-28 9:28:37
23.93,21.91,-31.8,-0.18,-1.27,0.26,2022-03-28 9:28:37
-15.38,38.27,-14.22,0.01,-0.64,0.07,2022-03-28 9:28:37
6.9,28.63,15.75,-0.1,-1.01,-0.02,2022-03-28 9:28:37
17.88,53.1,-6.9,-0.1,-0.88,0.35,2022-03-28 9:28:37
-12.76,75.5,15.14,0.19,-0.8,0.44,2022-03-28 9:28:37
-3.3,30.4,21,0.14,-0.95,0.35,2022-03-28 9:28:37
22.77,6.16,12.02,-0.02,-1.21,0.25,2022-03-28 9:28:37
-7.26,-9.22,4.82,0.04,-0.98,0.27,2022-03-28 9:28:37
-16.85,-7.2,3.05,0.18,-1.01,0.03,2022-03-28 9:28:38
-8.54,-5.8,6.41,0.12,-0.98,0.12,2022-03-28 9:28:38
-12.76,-23.13,-4.33,0.19,-0.94,0.3,2022-03-28 9:28:38
-10.01,-41.93,-7.75,0.17,-0.9,0.41,2022-03-28 9:28:38
-8.42,-20.87,-18.62,0.19,-0.87,0.39,2022-03-28 9:28:38
9.22,-22.89,-31.62,0.14,-0.97,0.35,2022-03-28 9:28:38
42.79,-15.44,-49.19,-0.26,-1.29,0.42,2022-03-28 9:28:38
-11.29,0.85,-34.42,-0.04,-0.71,0.37,2022-03-28 9:28:38
-42.91,-15.62,20.75,-0.2,-0.96,0.07,2022-03-28 9:28:38
-10.13,-8,28.32,-0.39,-0.78,0.16,2022-03-28 9:28:39
0.37,114.26,21.55,0.11,-0.8,0.22,2022-03-28 9:28:39
16.48,62.56,35.89,0.11,-0.82,0.61,2022-03-28 9:28:39
-10.13,-16.6,28.26,0.1,-0.85,0.49,2022-03-28 9:28:39
12.76,-49.01,26.73,0.28,-1.04,0.1,2022-03-28 9:28:39
29.6,-66.28,-8.61,0.1,-1.11,0.33,2022-03-28 9:28:39
18.49,-47.61,-10.38,0.17,-1.02,0.21,2022-03-28 9:28:39
-18.13,-26.61,-8.3,-0.06,-1.04,0.09,2022-03-28 9:28:39
-2.5,-15.93,-18.86,-0.15,-0.87,0.27,2022-03-28 9:28:39
-11.47,16.3,-16.97,0.13,-0.76,0.22,2022-03-28 9:28:40
17.27,6.1,23.5,-0.21,-0.82,0.48,2022-03-28 9:28:40
-8.73,38.76,-2.93,0.19,-1.08,0.22,2022-03-28 9:28:40
35.83,31.07,32.29,-0.07,-0.97,0.33,2022-03-28 9:28:40
-4.03,17.03,-0.85,0.1,-1.11,0.13,2022-03-28 9:28:40
4.09,15.01,-3.05,0.13,-0.89,0.25,2022-03-28 9:28:40
-4.64,-3.66,-2.01,0.19,-0.92,0.32,2022-03-28 9:28:40
-3.05,-24.11,-8.79,0.15,-0.95,0.36,2022-03-28 9:28:40
-8.73,-32.35,-23.38,0.21,-0.99,0.33,2022-03-28 9:28:40
7.39,-24.96,-39.67,-0.07,-1.28,0.32,2022-03-28 9:28:41
-14.47,-30.58,-31.8,-0.07,-0.7,0.35,2022-03-28 9:28:41
-27.34,-17.33,11.29,-0.23,-0.92,0.09,2022-03-28 9:28:41
-15.56,-0.98,19.41,-0.34,-0.79,0.24,2022-03-28 9:28:41
-5.49,37.29,25.15,0.06,-0.81,0.34,2022-03-28 9:28:41
4.27,11.17,35.95,0.03,-0.86,0.61,2022-03-28 9:28:41
-8.18,-2.75,37.35,0.14,-0.75,0.45,2022-03-28 9:28:41
15.81,-14.4,24.23,0.32,-1.18,0.03,2022-03-28 9:28:41
42.3,-10.68,20.87,-0.1,-0.99,0.42,2022-03-28 9:28:41
8,-20.08,-16.54,0.49,-1.11,0.07,2022-03-28 9:28:42
10.01,-21.67,8.97,-0.08,-1.01,0.22,2022-03-28 9:28:42
-3.6,-18.8,-24.41,0.16,-0.92,0.26,2022-03-28 9:28:42
-4.27,-26.79,-14.77,0.15,-0.85,0.32,2022-03-28 9:28:42
7.93,-10.44,-21.24,0.06,-0.99,0.42,2022-03-28 9:28:42
10.25,-33.02,-54.2,0.04,-1.12,0.35,2022-03-28 9:28:42
16.42,4.15,-21.91,-0.27,-0.99,0.4,2022-03-28 9:28:42
-28.32,-10.38,-8.48,-0.03,-0.77,0.03,2022-03-28 9:28:42
-0.31,34.3,51.33,-0.41,-0.89,0.07,2022-03-28 9:28:43
-8.42,60.24,9.28,0.12,-0.85,0.31,2022-03-28 9:28:43
-0.85,35.34,51.27,0.07,-0.91,0.5,2022-03-28 9:28:43
-6.29,17.21,23.86,0.14,-0.88,0.41,2022-03-28 9:28:43
2.14,-23.86,19.35,0.27,-0.85,0.27,2022-03-28 9:28:43
40.89,-102.42,14.71,-0.03,-1.27,0.19,2022-03-28 9:28:43
7.63,-19.17,-8.91,0.16,-1.04,0.26,2022-03-28 9:28:43
1.4,-69.58,2.5,0.17,-1.04,0.01,2022-03-28 9:28:43
7.63,-38.39,-5.8,-0.03,-0.97,0.27,2022-03-28 9:28:43
-2.81,-36.13,-19.29,0.15,-0.9,0.32,2022-03-28 9:28:44
-0.18,-19.84,-4.39,0.05,-0.9,0.37,2022-03-28 9:28:44
3.78,-15.62,-21.73,0.08,-0.95,0.4,2022-03-28 9:28:44
33.81,-35.58,-30.09,-0.09,-1.26,0.35,2022-03-28 9:28:44
-1.4,-27.59,-12.39,-0.28,-0.79,0.26,2022-03-28 9:28:44
-31.74,-6.16,4.21,-0.15,-0.94,-0.02,2022-03-28 9:28:44
-5.37,18.8,22.22,-0.23,-0.82,0.2,2022-03-28 9:28:44
-9.34,34.18,21.3,-0.01,-0.92,0.37,2022-03-28 9:28:44
-9.22,37.41,30.33,0.02,-0.91,0.46,2022-03-28 9:28:44
-9.03,4.82,19.41,0.16,-0.76,0.4,2022-03-28 9:28:45
9.4,-35.1,11.35,0.32,-1.16,0.09,2022-03-28 9:28:45
27.1,-64.88,11.78,-0.14,-1.06,0.41,2022-03-28 9:28:45
10.74,-32.78,-4.64,0.25,-1.02,0.13,2022-03-28 9:28:45
10.44,-52.61,-4.03,0,-0.95,0.22,2022-03-28 9:28:45
-5.25,-18.43,-10.07,-0.12,-1.16,0.24,2022-03-28 9:28:45
-22.46,15.26,-10.8,-0.11,-0.66,0.26,2022-03-28 9:28:45
8,13.37,13.67,0.02,-0.86,0.18,2022-03-28 9:28:45
-2.56,48.77,1.34,-0.08,-0.87,0.45,2022-03-28 9:28:46
-4.39,33.26,20.14,0.22,-0.91,0.22,2022-03-28 9:28:46
35.77,9.7,31.49,-0.1,-1,0.34,2022-03-28 9:28:46
3.3,-15.14,-9.7,0.18,-1.16,0.18,2022-03-28 9:28:46
-2.38,-7.93,3.36,0.03,-0.92,0.18,2022-03-28 9:28:46
-1.83,-19.65,-12.57,0.17,-0.89,0.26,2022-03-28 9:28:46
2.14,-35.46,-13.06,0.13,-0.95,0.4,2022-03-28 9:28:46
9.58,-30.58,-30.76,0.09,-1.07,0.38,2022-03-28 9:28:46
23.44,-4.64,-36.38,-0.27,-1.26,0.41,2022-03-28 9:28:46
-40.47,-14.71,-13.31,-0.05,-0.74,0.02,2022-03-28 9:28:47
-19.65,9.83,34.79,-0.37,-0.95,-0.02,2022-03-28 9:28:47
8.3,26.55,0.85,-0.04,-0.86,0.33,2022-03-28 9:28:47
1.71,57.92,35.77,0.11,-0.89,0.55,2022-03-28 9:28:47
