gx,gy,gz,acx,acy,acz,time
-0.24,-2.08,0.92,0.06,-0.92,0.36,2022-03-28 9:26:12
0.79,-0.61,-3.23,0.08,-0.93,0.36,2022-03-28 9:26:12
3.17,-4.33,-3.78,0.09,-0.93,0.37,2022-03-28 9:26:12
1.65,-6.35,-1.89,0.08,-0.92,0.38,2022-03-28 9:26:12
-2.2,-2.38,2.32,0.07,-0.93,0.38,2022-03-28 9:26:12
-2.99,0.73,5,0.07,-0.94,0.37,2022-03-28 9:26:12
2.69,-6.59,2.08,0.07,-0.9,0.38,2022-03-28 9:26:13
7.14,-20.94,-7.75,0.07,-0.89,0.4,2022-03-28 9:26:13
4.27,-6.35,-17.27,0.09,-0.91,0.41,2022-03-28 9:26:13
-7.81,7.69,-1.22,0.07,-0.94,0.39,2022-03-28 9:26:13
-7.63,10.31,21.24,0.08,-1,0.39,2022-03-28 9:26:13
-5.8,11.41,37.41,0.01,-0.98,0.37,2022-03-28 9:26:13
-8.97,12.33,14.16,-0.19,-0.77,0.63,2022-03-28 9:26:13
6.84,70.92,-34.36,0.14,-0.8,0.4,2022-03-28 9:26:13
33.75,-15.01,-61.89,0.23,-0.93,0.34,2022-03-28 9:26:13
28.99,-40.28,-3.78,0.02,-1.04,0.3,2022-03-28 9:26:14
11.11,85.33,5.55,0.13,-1.02,0.35,2022-03-28 9:26:14
-16.17,-41.5,27.77,0.14,-0.86,0.29,2022-03-28 9:26:14
-20.39,47.85,-21.97,-0.01,-1.03,0.36,2022-03-28 9:26:14
-42.24,70.5,-0.24,0.07,-0.86,0.13,2022-03-28 9:26:14
-18.62,91.8,8.91,0.15,-0.98,0.39,2022-03-28 9:26:14
10.13,-14.1,-33.45,0.22,-1.13,0.3,2022-03-28 9:26:14
5.43,-86.24,-31.25,-0.1,-0.72,0.5,2022-03-28 9:26:14
-10.19,56.82,-4.03,-0.05,-0.94,0.24,2022-03-28 9:26:14
-4.33,104.68,-14.95,0.02,-0.75,0.34,2022-03-28 9:26:15
19.84,-20.45,-18.62,0.03,-0.76,0.33,2022-03-28 9:26:15
41.87,-21.36,-32.53,0.06,-0.86,0.52,2022-03-28 9:26:15
14.04,-7.26,-22.09,0.02,-1.42,0.61,2022-03-28 9:26:15
-34.06,39.55,62.93,0.01,-0.9,0.38,2022-03-28 9:26:15
-47.97,-4.09,79.59,0.16,-1.13,0.3,2022-03-28 9:26:15
-54.08,-68.3,16.66,0.08,-1,0.17,2022-03-28 9:26:15
-31.43,10.19,23.68,0,-0.77,0.14,2022-03-28 9:26:15
31.92,46.63,18.13,0.14,-0.64,0.23,2022-03-28 9:26:15
58.9,-68.54,-61.22,0.31,-0.9,0.59,2022-03-28 9:26:16
54.32,-89.97,-65.06,-0.04,-1.34,0.78,2022-03-28 9:26:16
16.6,-2.69,3.78,0.03,-0.9,0.6,2022-03-28 9:26:16
-66.65,166.75,24.48,-0.4,-0.9,-0.04,2022-03-28 9:26:16
-16.78,143.49,14.1,-0.18,-0.85,0.43,2022-03-28 9:26:16
-4.03,-52.92,-73.3,-0.03,-0.78,0.2,2022-03-28 9:26:16
36.44,-34.36,-111.88,0.06,-1,0.43,2022-03-28 9:26:16
51.82,-29.05,-47.55,0.12,-0.84,0.51,2022-03-28 9:26:16
27.04,-50.54,9.28,0.2,-1.33,0.68,2022-03-28 9:26:16
-57.5,31.25,114.87,-0.11,-0.99,0.41,2022-03-28 9:26:17
-49.99,48.4,147.22,0.22,-1.15,0.32,2022-03-28 9:26:17
-52.61,-85.02,55.54,0.1,-1.02,0.18,2022-03-28 9:26:17
-23.8,-3.85,27.71,0.05,-0.83,0.17,2022-03-28 9:26:17
36.13,-28.14,-40.41,0.15,-0.85,0.41,2022-03-28 9:26:17
70.98,-105.35,-97.11,-0.1,-1.17,0.78,2022-03-28 9:26:17
26,32.59,-41.63,-0.13,-0.88,0.44,2022-03-28 9:26:17
-24.96,98.88,-16.3,-0.04,-0.82,0.51,2022-03-28 9:26:17
-5.68,59.39,26.55,0.04,-0.83,0.47,2022-03-28 9:26:18
11.78,-17.09,-27.65,-0.14,-0.79,0.49,2022-03-28 9:26:18
14.1,-33.26,-33.08,-0.07,-0.81,0.5,2022-03-28 9:26:18
26.86,-48.34,-22.95,0.12,-0.83,0.62,2022-03-28 9:26:18
12.21,-37.11,-14.53,0,-1.07,0.58,2022-03-28 9:26:18
-22.95,83.92,67.26,-0.26,-1.04,0.3,2022-03-28 9:26:18
-2.62,164.12,110.72,0,-0.97,0.24,2022-03-28 9:26:18
4.82,-90.94,18.92,0.06,-1,0.2,2022-03-28 9:26:18
-8.73,-112.55,-13.06,-0.08,-0.99,0.27,2022-03-28 9:26:18
18.98,42.97,13.85,0.01,-0.85,0.31,2022-03-28 9:26:19
32.41,-35.58,-60.18,0.18,-1.02,0.33,2022-03-28 9:26:19
12.08,-63.66,-83.98,-0.01,-1.13,0.44,2022-03-28 9:26:19
-13.37,80.51,10.07,-0.06,-0.54,0.44,2022-03-28 9:26:19
-15.32,41.14,39.18,0.13,-1.01,0.37,2022-03-28 9:26:19
-1.22,11.72,29.85,-0.1,-0.72,0.47,2022-03-28 9:26:19
1.83,44.43,-3.85,-0.09,-0.74,0.39,2022-03-28 9:26:19
30.09,3.42,-56.64,0.12,-0.93,0.48,2022-03-28 9:26:19
7.93,-23.5,-49.5,0.02,-1.11,0.48,2022-03-28 9:26:19
-2.99,26,67.75,0.03,-0.88,0.34,2022-03-28 9:26:20
-42.91,-24.48,54.69,0.09,-1.05,0.25,2022-03-28 9:26:20
-37.17,28.5,52.37,-0.09,-0.96,0.15,2022-03-28 9:26:20
3.3,99.91,11.96,0.07,-0.83,0.12,2022-03-28 9:26:20
40.77,-45.59,-55.97,0.18,-0.93,0.19,2022-03-28 9:26:20
59.27,-156.25,-88.2,0.28,-1.11,0.4,2022-03-28 9:26:20
35.95,-67.02,-55.05,-0.07,-1.14,0.61,2022-03-28 9:26:20
-18.55,54.99,-0.49,0.14,-1.2,0.63,2022-03-28 9:26:20
