gx,gy,gz,acx,acy,acz,time
5.25,-4.76,-5.68,0.09,-0.93,0.38,2022-03-28 9:30:56
6.65,-14.53,-9.77,0.09,-0.9,0.38,2022-03-28 9:30:56
1.4,2.08,-12.94,0.09,-0.92,0.38,2022-03-28 9:30:57
-7.26,23.44,-1.65,0.07,-0.92,0.37,2022-03-28 9:30:57
-4.76,20.94,9.46,0.07,-0.96,0.37,2022-03-28 9:30:57
-8.54,32.9,14.53,0.01,-0.92,0.51,2022-03-28 9:30:57
14.77,-36.99,-4.7,0.02,-0.76,0.31,2022-03-28 9:30:57
33.94,-4.15,-28.87,0.05,-0.88,0.44,2022-03-28 9:30:57
29.36,-13.24,-15.56,0.08,-1.03,0.47,2022-03-28 9:30:57
-3.42,-12.33,1.46,0.09,-1.02,0.43,2022-03-28 9:30:57
-32.17,19.29,56.4,0.1,-0.93,0.32,2022-03-28 9:30:57
-45.59,-7.93,51.64,0.1,-1.08,0.24,2022-03-28 9:30:58
-26.25,2.01,33.87,0.07,-0.87,0.18,2022-03-28 9:30:58
13.79,-6.35,-5.92,0.12,-0.92,0.25,2022-03-28 9:30:58
29.11,-12.82,-65.67,0.06,-1.07,0.4,2022-03-28 9:30:58
13.98,-4.76,-33.94,-0.03,-0.63,0.45,2022-03-28 9:30:58
-0.18,37.66,-41.56,0.09,-1.05,0.35,2022-03-28 9:30:58
1.89,110.78,37.6,0.04,-0.74,0.25,2022-03-28 9:30:58
37.29,13.31,-14.59,0.05,-0.84,0.45,2022-03-28 9:30:58
24.84,-41.5,-40.71,0.06,-1.47,0.61,2022-03-28 9:30:59
-33.33,45.41,39.06,0.01,-0.88,0.33,2022-03-28 9:30:59
-59.2,25.63,9.77,0.13,-1.01,0.25,2022-03-28 9:30:59
-31.01,54.69,37.72,0.07,-0.9,0.2,2022-03-28 9:30:59
8.48,32.17,-36.93,0.09,-0.86,0.32,2022-03-28 9:30:59
41.99,-48.83,-92.71,0.06,-1.27,0.66,2022-03-28 9:30:59
1.46,67.44,-36.93,-0.05,-1.08,0.34,2022-03-28 9:30:59
-24.23,139.89,-4.27,0.05,-0.75,0.33,2022-03-28 9:30:59
10.01,42.97,-0.24,0.08,-0.67,0.36,2022-03-28 9:31:00
33.69,-60.49,-58.53,0.08,-1.16,0.63,2022-03-28 9:31:00
-12.02,53.71,18.19,-0.07,-1.08,0.52,2022-03-28 9:31:00
-47.67,89.6,62.5,0.1,-0.78,0.32,2022-03-28 9:31:00
-27.83,-6.41,-6.59,0.16,-0.98,0.28,2022-03-28 9:31:00
8.61,-19.29,4.03,0.05,-0.83,0.3,2022-03-28 9:31:00
35.89,-37.05,-30.46,0.14,-0.89,0.45,2022-03-28 9:31:00
26.18,-154.3,-40.16,-0.15,-1.28,0.56,2022-03-28 9:31:00
