gx,gy,gz,acx,acy,acz,time
0.61,-2.81,18.19,0.07,-0.92,0.36,2022-03-28 9:33:19
4.33,-6.47,13.24,0.06,-0.92,0.38,2022-03-28 9:33:19
2.62,2.5,0.43,0.04,-0.94,0.39,2022-03-28 9:33:19
-3.54,11.29,-8.61,0.07,-0.92,0.38,2022-03-28 9:33:20
-4.27,15.08,-11.66,0.09,-0.92,0.36,2022-03-28 9:33:20
1.46,2.56,-4.27,0.1,-0.92,0.36,2022-03-28 9:33:20
3.17,-3.36,9.03,0.07,-0.93,0.38,2022-03-28 9:33:20
0.55,-6.04,5.62,0.06,-0.92,0.39,2022-03-28 9:33:20
-2.5,-2.38,-0.61,0.07,-0.92,0.37,2022-03-28 9:33:20
-2.26,-3.05,-2.01,0.08,-0.93,0.36,2022-03-28 9:33:20
-1.34,2.08,-1.4,0.07,-0.95,0.37,2022-03-28 9:33:20
0.98,14.89,-5.25,0.04,-0.9,0.37,2022-03-28 9:33:21
-4.58,44.92,-30.33,0.08,-0.96,0.35,2022-03-28 9:33:21
21.91,50.29,-29.24,0,-1.01,0.36,2022-03-28 9:33:21
24.29,3.3,-21.42,-0.01,-0.79,0.43,2022-03-28 9:33:21
-31.86,1.77,66.16,0,-0.98,0.36,2022-03-28 9:33:21
-50.35,41.44,82.58,0.14,-1.01,0.26,2022-03-28 9:33:22
-44.68,-14.47,39.12,0.11,-0.99,0.19,2022-03-28 9:33:22
-5.55,-8.85,13.55,0.1,-0.91,0.17,2022-03-28 9:33:22
39.31,-33.94,-43.52,0.2,-1.13,0.32,2022-03-28 9:33:22
36.01,-117.55,-35.16,-0.18,-1.19,0.64,2022-03-28 9:33:22
9.16,72.81,-16.3,0.01,-0.56,0.33,2022-03-28 9:33:22
-10.74,-26.79,-50.05,0.05,-0.98,0.39,2022-03-28 9:33:22
9.16,101.14,8.06,0.04,-0.76,0.29,2022-03-28 9:33:22
34.36,-13.24,5.13,0.16,-0.92,0.45,2022-03-28 9:33:23
-30.58,-2.99,53.89,-0.05,-0.92,0.34,2022-03-28 9:33:23
-59.75,36.99,19.59,0.15,-0.98,0.27,2022-03-28 9:33:23
-35.71,6.35,32.29,0.1,-0.89,0.18,2022-03-28 9:33:23
-5.49,-6.84,8.06,0.09,-1.03,0.24,2022-03-28 9:33:23
29.17,24.78,-35.89,0.04,-1.14,0.4,2022-03-28 9:33:23
45.29,-56.52,-26.31,0.01,-0.71,0.38,2022-03-28 9:33:23
5.68,73.36,-53.28,-0.03,-0.82,0.41,2022-03-28 9:33:23
15.38,75.93,-6.59,0.17,-0.77,0.39,2022-03-28 9:33:24
33.69,-20.32,-15.32,0.22,-1.21,0.5,2022-03-28 9:33:24
-32.59,15.08,66.16,-0.05,-0.81,0.35,2022-03-28 9:33:24
-66.96,36.56,70.74,0.17,-1.14,0.3,2022-03-28 9:33:24
-59.2,35.58,48.4,0.04,-0.88,0.15,2022-03-28 9:33:24
-3.11,49.38,19.9,0.14,-0.81,0.18,2022-03-28 9:33:24
37.41,-49.07,-76.48,0.15,-0.95,0.25,2022-03-28 9:33:24
54.08,-188.05,-101.99,0.1,-0.69,0.75,2022-03-28 9:33:24
4.52,26.43,-27.34,-0.28,-1,0.21,2022-03-28 9:33:24
-28.56,271.48,-5.49,0.24,-0.68,0.31,2022-03-28 9:33:25
33.02,-86.79,-25.63,0.43,-0.57,0.31,2022-03-28 9:33:25
-47.97,-21.97,15.32,-0.22,-1.07,0.43,2022-03-28 9:33:25
-87.34,124.69,146.67,0.1,-1.43,0.45,2022-03-28 9:33:25
-79.47,37.84,151.73,0.09,-0.91,0.23,2022-03-28 9:33:25
-28.38,-3.42,48.28,0.1,-0.68,0.2,2022-03-28 9:33:25
58.04,-34.67,-64.09,0.07,-0.88,0.37,2022-03-28 9:33:25
100.22,-188.84,-164.92,-0.01,-0.94,0.66,2022-03-28 9:33:25
38.76,-7.26,-79.41,-0.32,-0.96,0.28,2022-03-28 9:33:26
19.9,347.6,-51.88,0.4,-0.82,0.18,2022-03-28 9:33:26
43.09,-161.32,-64.7,0.7,-0.8,0.47,2022-03-28 9:33:26
-44.74,36.74,79.65,-0.18,-1.17,0.52,2022-03-28 9:33:26
-85.39,103.45,151,0.15,-1.35,0.42,2022-03-28 9:33:26
-72.63,28.56,110.96,0.11,-0.96,0.19,2022-03-28 9:33:26
-25.33,-10.44,49.62,0.14,-0.66,0.16,2022-03-28 9:33:26
39.12,-27.77,-36.07,0.16,-0.77,0.31,2022-03-28 9:33:26
89.97,-260.31,-95.09,0.04,-1.03,0.78,2022-03-28 9:33:27
43.82,53.53,-52.67,-0.24,-0.97,0.24,2022-03-28 9:33:27
9.28,273.86,-78.49,0.28,-0.85,0.23,2022-03-28 9:33:27
40.53,-240.36,-50.6,0.33,-0.87,0.43,2022-03-28 9:33:27
-3.23,-39,19.65,-0.21,-1.32,0.57,2022-03-28 9:33:27
-64.09,45.41,118.47,0.13,-1.09,0.35,2022-03-28 9:33:27
-74.46,20.39,69.46,0.15,-1.03,0.2,2022-03-28 9:33:27
